CRN,CODE,TITLE,CR,DATE,DAYS,TIME,COST
13875,BIOL210M,Microbiology (P),4,8/28-12/15,R,5-10pm,"$1,014"
14191,BIOL210M,Microbiology (P),4,8/28-12/15,T R,11am-1:30pm,"$1,014"
14441,BIOL210M,Microbiology (P),4,8/28-12/15,F,11am-4pm,"$1,014"
13876,BIOL220M,Pathophysiology (P),3,8/28-12/15,,Online,$678
18425,BLDG214M,Sustainable Building Practices,3,8/28-12/17,,TBD,$678
18426,BLDG225M,Blueprint Reading/Estimating,4,8/28-12/15,,TBD,"$1,014"
18651,BUS110M,Introduction to Business (P),3,8/28-12/15,M W,12:30-1:45pm,$678
18652,BUS110M,Introduction to Business (P),3,8/28-12/15,R,6:30-9pm,$678
13877,BUS110M,Introduction to Business (P),3,8/28-12/15,,Online,$678
13878,BUS110M,Introduction to Business (P) HYBRIDOnline plus in class Wednesdays,3,9/25-12/15,W,11am-1:30pm,$678
14290,BUS110M,Introduction to Business (P),3,8/28-10/21,,Online,$678
13879,BUS114M,Management (P),3,8/28-12/15,,Online,$678
13880,BUS114M,Management (P) HYBRIDOnline plus in class Tuesdays,3,9/25-12/15,T,11am-1:30pm,$678
13881,BUS114M,Management (P) HYBRIDOnline plus in class Wednesdays,3,10/23-12/15,W,2-4:30pm,$678
13882,BUS114M,Management (P),3,8/28-12/15,W,5-7:30pm,$678
13883,BUS114M,Management (P),3,10/23-12/15,,Online,$678
13885,BUS120M,Introduction to Communications Media,3,8/28-12/15,W,2-4:30pm,$678
13886,BUS124M,Small Business Management,3,8/28-12/15,,Online,$678
13887,BUS124M,Small Business Management,3,8/28-12/15,T R,11am-12:15pm,$678
13888,BUS155M,Retail Management (P/C),3,8/28-12/15,M,6:30-9pm,$678
13889,BUS210M,Organizational Communications (P),3,8/28-12/15,R,6:30-9pm,$678
13890,BUS212M,Business Law I,3,8/28-12/15,,Online,$678
13891,BUS212M,Business Law I,3,8/28-12/15,W,2-4:30pm,$678
13892,BUS212M,Business Law I,3,8/28-12/15,W,5-7:30pm,$678
13894,BUS216M,Organizational Behavior,3,8/28-12/15,T,6:30-9pm,$678
13895,BUS220M,Operations Management,3,8/28-12/15,T,5-7:30pm,$678
13896,BUS221M,Business Finance (P),3,8/28-12/15,,Online,$678
14282,BUS221M,Business Finance (P) HYBRIDOnline plus in class Mondays,3,8/28-12/15,M,5-6:15pm,$678
13898,BUS224M,Human Resource Management (P),3,8/28-12/15,T R,2-3:15pm,$678
18664,BUS227M,Training and Development (P),3,8/28-12/15,,Online,$678
18665,BUS228M,Seminar in Strategic Human Resource Management,3,8/28-12/15,,Online,$678
13899,CAD110M,CAD I Fundamentals HYBRID Online plus in class Wednesdays,3,8/28-10/21,W,6-9:20pm,$788
13900,CAD120M,CAD II Intermediate (P) HYBRIDOnline plus in class Wednesdays,3,10/23-12/15,W,6-9:20pm,$788
13901,CAD220M,Inventor Fundamentals (P) HYBRIDOnline plus in class Tuesdays,3,8/28-10/21,T,5-10pm,$788
13902,CAD225M,Design Project for Rapid Prototyping (P) HYBRIDOnline plus in class Tuesdays,4,10/23-12/15,T,5-10pm,"$1,064"
13903,CHEM090M,Foundations of Chemistry,3,8/28-12/15,M,6-9:20pm,$788
13904,CHEM090M,Foundations of Chemistry,3,8/28-12/15,W,8-11:20am,$788
13905,CHEM090M,Foundations of Chemistry,3,8/28-12/15,R,2-5:20pm,$788
13906,CHEM090M,Foundations of Chemistry,3,8/28-12/15,R,6-9:20pm,$788
13907,CHEM115M,General Chemistry I (P),4,8/28-12/15,T R,11am-1:30pm,"$1,014"
13908,CHEM115M,General Chemistry I (P),4,8/28-12/15,W,5-10pm,"$1,014"
14192,CHEM116M,General Chemistry II (P),4,8/28-12/15,T,5-10pm,"$1,014"
13909,CIS102M,A+ Preparation - Hardware HYBRID Online plus in class Wednesdays,3,8/28-12/15,W,8-10am,$788
14443,CIS102M,A+ Preparation - Hardware HYBRID Online plus in class Saturdays,3,8/28-12/15,S,9-10am,$788
14264,CIS105M,Introduction to Computer Science HYBRID Online plus in class Thursdays,3,8/28-10/21,R,8-10am,$788
14265,CIS105M,Introduction to Computer Science,3,8/28-10/21,,Online,$788
14266,CIS105M,Introduction to Computer Science HYBRID Online plus in class Tuesdays,3,8/28-10/21,T,5-7pm,$788
13910,CIS107M,Introduction to Android Apps Development (C) HYBRIDOnline plus in class Thursdays,3,10/23-12/15,R,11am-12:30pm,$788
14262,CIS107M,Introduction to Android Apps Development (C),3,10/23-12/15,,Online,$788
13911,CIS108M,Introduction to Windows Apps Development (C) HYBRIDOnline plus in class Thursdays,3,10/23-12/15,R,8-10am,$788
18516,CIS110M,Microsoft Computer Applications I,3,8/28-12/15,F,11am-2:20pm,$788
13912,CIS110M,Microsoft Computer Applications I HYBRID Online plus in class Fridays,3,8/28-12/15,F,8-10am,$788
13913,CIS110M,Microsoft Computer Applications I HYBRID Online plus in class Wednesdays,3,8/28-12/15,W,11am-1pm,$788
13914,CIS110M,Microsoft Computer Applications I HYBRID Online plus in class Mondays,3,8/28-12/15,M,6-8pm,$788
13915,CIS110M,Microsoft Computer Applications I,3,8/28-12/15,,Online,$788
13916,CIS110M,Microsoft Computer Applications I HYBRID Online plus in class Thursdays,3,8/28-12/15,R,2-4pm,$788
13917,CIS110M,Microsoft Computer Applications I,3,10/23-12/15,,Online,$788
14474,CIS110M,Microsoft Computer Applications I,3,9/25-12/15,,Online,$788
13918,CIS116M,Network + Preparation HYBRID Online plus in class Mondays,4,8/28-12/15,M,11am-1pm,"$1,014"
13919,CIS124M,Web Programming I,3,8/28-12/15,R,6-9:20pm,$788
